description,avg_gross_charge,description_clean
ACTIVATED CHARCOAL LIQD 5,33.0,activated charcoal liqd 5
ACYCLOVIR 200 MG/5 ML SUSP,29.0,acyclovir 200 mg/5 ml susp
ACYCLOVIR 400 MG TAB,2.5,acyclovir 400 mg tab
ACYCLOVIR 5 % OINT,245.5,acyclovir 5 % oint
ACYCLOVIR 50 MG/ML VIAL,129.875,acyclovir 50 mg/ml vial
ADALIMUMAB 40 MG/0.8 ML PNKT,5294.25,adalimumab 40 mg/0.8 ml pnkt
"ADAPTER CAP, WOUND VAC",13.44,"adapter cap, wound vac"
"ADAPTER, AIRWAY",42.88,"adapter, airway"
"ADAPTER, LOCKING TITANIUM",852.37,"adapter, locking titanium"
"ADAPTER, NASAL, CO2 MONIT",31.84,"adapter, nasal, co2 monit"
ADENOSINE (DIAGNOSTIC) 3 MG/ML SOLN,102.0,adenosine (diagnostic) 3 mg/ml soln
ADENOSINE (DIAGNOSTIC) 3M,36.5,adenosine (diagnostic) 3m
ADENOSINE 3 MG/ML VIAL,38.0,adenosine 3 mg/ml vial
ADENOSINE 6 MG/2 ML VIAL,77.4,adenosine 6 mg/2 ml vial
ADENOTOME CURETTE,134.66,adenotome curette
"ADHESIVE MICORFOAM 4""",37.25,"adhesive micorfoam 4"""
ADHESIVE TIES (MONTGOMERY,16.75,adhesive ties (montgomery
ADJ TISSUE TRANF <10 SQ C,1647.2,adj tissue tranf <10 sq c
"ADMIN SET, EPIDURAL",27.05,"admin set, epidural"
ADNOIDECTOMY < 12 YEARS,443.5,adnoidectomy < 12 years
ADNOIDECTOMY > 12 YEARS,496.75,adnoidectomy > 12 years
ADO-TRASTUZUMAB EMTANSINE 100 MG SOLR,5736.5,ado-trastuzumab emtansine 100 mg solr
ADO-TRASTUZUMAB EMTANSINE 160 MG SOLR,8206.25,ado-trastuzumab emtansine 160 mg solr
"AEROBIC ISOLATE,ADD DEF I",102.0,"aerobic isolate,add def i"
AEROCLOUD CHAMBER,26.25,aerocloud chamber
"AIRFLOAT CUSHION, LAPIDUS",126.5,"airfloat cushion, lapidus"
"AIRWAY, SUPRAGLOTTIC",110.96,"airway, supraglottic"
ALBUMIN HUMAN 25 % SOLP,302.5,albumin human 25 % solp
"ALBUMIN, HUMAN SOLP 25%",335.25,"albumin, human solp 25%"
"ALBUMIN, QUAL.,URINNE",50.0,"albumin, qual.,urinne"
"ALBUMIN, SERUM",58.0,"albumin, serum"
ALBUMIN/PROTEIN  URINE,106.5,albumin/protein urine
ALBUTEROL 0.083% 2.5 MG/3 ML (0.083 %) NEBU,2.0,albuterol 0.083% 2.5 mg/3 ml (0.083 %) nebu
ALBUTEROL 2 MG/5 ML SYRP,6.75,albuterol 2 mg/5 ml syrp
ALBUTEROL 4 MG TB12,17.75,albuterol 4 mg tb12
ALBUTEROL 5 MG/ML NEBU,86.5,albuterol 5 mg/ml nebu
ALBUTEROL MDI 90 MCG/ACTUATION HFAA,33.25,albuterol mdi 90 mcg/actuation hfaa
ALC C REAMER,316.48,alc c reamer
ALC HEWSON BREAKWAY PINS,99.36,alc hewson breakway pins
ALC HIGH STRENGTH PINS,72.87,alc high strength pins
ALC SCREW DRILL SET,505.74,alc screw drill set
ALCO-ETHANOL BLOOD FOR ME,236.75,alco-ethanol blood for me
ALENDRONATE 10 MG TAB,2.25,alendronate 10 mg tab
ALENDRONATE 35 MG TAB,21.5,alendronate 35 mg tab
ALENDRONATE 70 MG TAB,4.0,alendronate 70 mg tab
ALFENTANIL 500 MCG/ML SOLN,44.5,alfentanil 500 mcg/ml soln
ALFUZOSIN 10 MG TB24,2.75,alfuzosin 10 mg tb24
ALISKIREN 150 MG TAB,40.75,aliskiren 150 mg tab
ALKALINE PHOSPHATASE,67.0,alkaline phosphatase
ALLANTOIN-ONION-PEGS-WATER  GEL,71.0,allantoin-onion-pegs-water gel
ALLERGY INJECTION - MULTI,21.75,allergy injection - multi
ALLERGY INJECTION - SINGL,18.25,allergy injection - singl
ALLERGY INJECTION MULTIPL,21.75,allergy injection multipl
ALLERGY INJECTION SINGLE,18.25,allergy injection single
"ALLERGY TESTING, PER TEST",94.75,"allergy testing, per test"
ALLOGRAFT,2685.39,allograft
ALLOMATRIX,1662.025,allomatrix
ALLOPURINOL 100 MG TAB,2.0,allopurinol 100 mg tab
ALLOPURINOL 300 MG TAB,4.75,allopurinol 300 mg tab
ALLOSYNC DBM GEL,630.0,allosync dbm gel
ALOGLIPTIN-PIOGLITAZONE 25-15 MG TAB,50.0,alogliptin-pioglitazone 25-15 mg tab
ALPHA LIPOIC ACID 200 MG CAP,3.5,alpha lipoic acid 200 mg cap
ALPHA-1 PROTEINASE INHIB.(HUM) 1000 MG (+/-)/20 ML SOLN,1335.0,alpha-1 proteinase inhib.(hum) 1000 mg (+/-)/20 ml soln
ALPHA-1 PROTEINASE INHIB.(HUM) 1000 MG SOLR,38.0,alpha-1 proteinase inhib.(hum) 1000 mg solr
ALPHA-D-GALACTOSIDASE 150 UNITS TAB,2.25,alpha-d-galactosidase 150 units tab
ALPRAZolam 0.25 MG TAB,2.0,alprazolam 0.25 mg tab
ALPRAZolam 0.5 MG TAB,2.0,alprazolam 0.5 mg tab
ALPRAZolam ER 0.5 MG TB24,3.0,alprazolam er 0.5 mg tb24
ALPRAZolam ER 2 MG TB24,8.75,alprazolam er 2 mg tb24
ALPROSTADIL 500 MCG/ML AMP,578.0,alprostadil 500 mcg/ml amp
ALTEPLASE 100 MG SOLR,10141.75,alteplase 100 mg solr
ALTEPLASE 2 MG SOLR,748.5,alteplase 2 mg solr
ALUMINUM CHLORIDE 20 % SOLN,34.75,aluminum chloride 20 % soln
ALUMINUM/MAGNESIUM/SIMETHICONE 200-200-20 MG/5 ML SUSP,26.25,aluminum/magnesium/simethicone 200-200-20 mg/5 ml susp
ALUMINUM/MAGNESIUM/SIMETHICONE 400-400-40 MG/5 ML SUSP,25.0,aluminum/magnesium/simethicone 400-400-40 mg/5 ml susp
AMANTADINE 100 MG CAP,11.5,amantadine 100 mg cap
AMANTADINE 50 MG/5 ML SOLN,30.75,amantadine 50 mg/5 ml soln
AMBULANCE NURSE EACH HOUR,146.75,ambulance nurse each hour
AMIKACIN 250 MG/ML SOLN,133.875,amikacin 250 mg/ml soln
AMILORIDE 5 MG TAB,2.75,amiloride 5 mg tab
AMILoride-HYDROCHLOROTHIAZIDE 5-50 MG TAB,5.0,amiloride-hydrochlorothiazide 5-50 mg tab
AMINO ACIDS 4.25%-LYTES-CA-D5W 4.25 % SOLP,199.75,amino acids 4.25%-lytes-ca-d5w 4.25 % solp
AMINO ACIDS 5 %-LYTES-CA-D20 5 % SOLP,306.25,amino acids 5 %-lytes-ca-d20 5 % solp
AMINOCAPROIC ACID 250 MG/ML VIAL,61.5,aminocaproic acid 250 mg/ml vial
AMINOPHYLLINE 250 MG/10 M,36.5,aminophylline 250 mg/10 m
AMINOPHYLLINE 250MG/10ML VIAL,111.0,aminophylline 250mg/10ml vial
AMIODARONE 200 MG TAB,5.25,amiodarone 200 mg tab
AMIODARONE 50 MG/ML SOLN,64.16666666666667,amiodarone 50 mg/ml soln
AMITRIPTYLINE 10 MG TAB,2.0,amitriptyline 10 mg tab
AMITRIPTYLINE 25 MG TAB,3.5,amitriptyline 25 mg tab
AMITRIPTYLINE-CHLORDIAZEPOXIDE 12.5-5 MG TAB,14.5,amitriptyline-chlordiazepoxide 12.5-5 mg tab
AMMONIA INHALANT 15 % SOLN,12.5,ammonia inhalant 15 % soln
AMMONIUM LACTATE 12 % LOTN,52.0,ammonium lactate 12 % lotn
AMNIOCENTESIS GUIDANCE,498.25,amniocentesis guidance
AMNIOCENTESIS TRAY,161.56,amniocentesis tray
"AMNIOCENTESIS TRAY, DISP",178.0,"amniocentesis tray, disp"
AMOXICILLIN 125 MG/5 ML SUSR,18.0,amoxicillin 125 mg/5 ml susr
AMOXICILLIN 250 MG CAP,2.0,amoxicillin 250 mg cap
AMOXICILLIN 250 MG/5 ML SUSR,22.25,amoxicillin 250 mg/5 ml susr
AMOXICILLIN 400 MG/5 ML SUSR,24.625,amoxicillin 400 mg/5 ml susr
AMOXICILLIN 500 MG CAP,3.25,amoxicillin 500 mg cap
AMOXICILLIN 875 MG TAB,6.0,amoxicillin 875 mg tab
AMOXICILLIN/CLAVULANATE 1000-62.5 MG TB12,49.75,amoxicillin/clavulanate 1000-62.5 mg tb12
AMOXICILLIN/CLAVULANATE 125-31.25 MG/5 ML SUSR,192.0,amoxicillin/clavulanate 125-31.25 mg/5 ml susr
AMOXICILLIN/CLAVULANATE 200-28.5 MG/5 ML SUSR,31.0,amoxicillin/clavulanate 200-28.5 mg/5 ml susr
AMOXICILLIN/CLAVULANATE 250-62.5 MG/5 ML SUSR,180.0,amoxicillin/clavulanate 250-62.5 mg/5 ml susr
AMOXICILLIN/CLAVULANATE 500-125 MG TAB,3.75,amoxicillin/clavulanate 500-125 mg tab
AMOXICILLIN/CLAVULANATE 600-42.9 MG/5 ML SUSR,57.0,amoxicillin/clavulanate 600-42.9 mg/5 ml susr
AMOXICILLIN/CLAVULANATE 875-125 MG TAB,3.25,amoxicillin/clavulanate 875-125 mg tab
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG CP24,8.25,amphetamine-dextroamphetamine 10 mg cp24
AMPHETAMINE-DEXTROAMPHETAMINE 20 MG CP24,13.75,amphetamine-dextroamphetamine 20 mg cp24
AMPHETAMINE-DEXTROAMPHETAMINE 20 MG TAB,3.0,amphetamine-dextroamphetamine 20 mg tab
AMPHETAMINE-DEXTROAMPHETAMINE 25 MG CP24,15.25,amphetamine-dextroamphetamine 25 mg cp24
AMPHETAMINE-DEXTROAMPHETAMINE 30 MG CP24,57.5,amphetamine-dextroamphetamine 30 mg cp24
AMPHOTERICIN B LIPOSOME 50 MG SUSR,360.0,amphotericin b liposome 50 mg susr
AMPICILLIN 1 GRAM SOLR,38.0,ampicillin 1 gram solr
AMPICILLIN 2 GRAM SOLR,65.0,ampicillin 2 gram solr
AMPICILLIN 250 MG SOLR,154.5,ampicillin 250 mg solr
AMPICILLIN 500 MG CAP,6.5,ampicillin 500 mg cap
AMPICILLIN 500 MG SOLR,38.0,ampicillin 500 mg solr
AMPICILLIN/SULBACTAM 1.5 GRAM SOLR,38.0,ampicillin/sulbactam 1.5 gram solr
AMPICILLIN/SULBACTAM 3 GRAM SOLR,38.0,ampicillin/sulbactam 3 gram solr
AMPICILLIN/SULBACTAM ADD-VANTAGE 1.5 GRAM SOLR,38.0,ampicillin/sulbactam add-vantage 1.5 gram solr
AMPICILLIN/SULBACTAM ADD-VANTAGE 3 GRAM SOLR,54.5,ampicillin/sulbactam add-vantage 3 gram solr
AMPUTATION FINGER W/OUT G,1848.6666666666667,amputation finger w/out g
"AMPUTATION TOE, INTERPHAL",304.25,"amputation toe, interphal"
AMPUTATION TOE; MTP JOINT,317.75,amputation toe; mtp joint
AMVISC/DUOVISC,136.5,amvisc/duovisc
AMYL NITRITE 0.3 ML SOLN,12.5,amyl nitrite 0.3 ml soln
AMYLASE,114.75,amylase
ANASTROZOLE 1 MG TAB,2.0,anastrozole 1 mg tab
"ANCA SCREEN, EACH ANTIBOD",149.0,"anca screen, each antibod"
"ANCHOR, 3.5MM TWINLOOPPEE",563.85,"anchor, 3.5mm twinlooppee"
"ANCHOR, 5.5 PEEK ZIP",781.92,"anchor, 5.5 peek zip"
"ANCHOR, 6.5 TI  INTRALINE",781.92,"anchor, 6.5 ti intraline"
"ANCHOR, 6.5MM PEEK",719.87,"anchor, 6.5mm peek"
"ANCHOR, 6.5MM PEEK ZIP",719.87,"anchor, 6.5mm peek zip"
"ANCHOR, WHITE, 5.5 TI",781.92,"anchor, white, 5.5 ti"
ANES SUPPLIES BASE,600.75,anes supplies base
ANESTHESIA ABDOMINOPERINE,122.75,anesthesia abdominoperine
ANESTHESIA ARTERIAL CATH,122.75,anesthesia arterial cath
ANESTHESIA ARTERIAL PUNCT,122.75,anesthesia arterial punct
ANESTHESIA ARTHROSCOPY KN,122.75,anesthesia arthroscopy kn
ANESTHESIA BREAST BIOPSY,122.75,anesthesia breast biopsy
ANESTHESIA CARDIOVERSION,122.75,anesthesia cardioversion
ANESTHESIA CENTRAL VENOUS,122.75,anesthesia central venous
ANESTHESIA CESAREAN AFTER,122.75,anesthesia cesarean after
ANESTHESIA CESAREAN DELIV,122.75,anesthesia cesarean deliv
ANESTHESIA CLOSED HIP PRO,122.75,anesthesia closed hip pro
ANESTHESIA CLOSED KNEE JO,122.75,anesthesia closed knee jo
"ANESTHESIA CLOSED TIBIA,",122.75,"anesthesia closed tibia,"
ANESTHESIA COLONOSCOPY,122.75,anesthesia colonoscopy
"ANESTHESIA COLONOSCOPY, S",122.75,"anesthesia colonoscopy, s"
ANESTHESIA COLONOSCOPY/EG,122.75,anesthesia colonoscopy/eg
ANESTHESIA DAILY HOSPITAL,122.75,anesthesia daily hospital
"ANESTHESIA EAR, TYMPANOTO",122.75,"anesthesia ear, tympanoto"
ANESTHESIA EGD,122.75,anesthesia egd
ANESTHESIA EXTENSIVE SPIN,122.75,anesthesia extensive spin
ANESTHESIA EXTERNAL CEPHA,122.75,anesthesia external cepha
ANESTHESIA EYE PROCEDURE,122.75,anesthesia eye procedure
"ANESTHESIA EYE, LENS SURG",122.75,"anesthesia eye, lens surg"
"ANESTHESIA EYS, LENS SURG",122.75,"anesthesia eys, lens surg"
ANESTHESIA FACIAL BONES O,122.75,anesthesia facial bones o
"ANESTHESIA FORARM, WRIST",122.75,"anesthesia forarm, wrist"
"ANESTHESIA FORARM,WRIST,H",122.75,"anesthesia forarm,wrist,h"
"ANESTHESIA FOREARM,WRIST&",122.75,"anesthesia forearm,wrist&"
ANESTHESIA HERNIA REPAIR,122.75,anesthesia hernia repair
"ANESTHESIA HERNIA REPAIR,",122.75,"anesthesia hernia repair,"
ANESTHESIA HIP PROCEDURE,122.75,anesthesia hip procedure
ANESTHESIA HYSTEROSCOPY/H,122.75,anesthesia hysteroscopy/h
"ANESTHESIA INJ, AXILLARY",122.75,"anesthesia inj, axillary"
"ANESTHESIA INJ, BRACHIAL",122.75,"anesthesia inj, brachial"
"ANESTHESIA INJ, GREATER O",122.75,"anesthesia inj, greater o"
ANESTHESIA INTEGUMENTARY,122.75,anesthesia integumentary
"ANESTHESIA INTRAORAL, T&A",122.75,"anesthesia intraoral, t&a"
ANESTHESIA INTRAPERITONEA,122.75,anesthesia intraperitonea
"ANESTHESIA INTUBATION, EN",122.75,"anesthesia intubation, en"
ANESTHESIA KYPHOPLASTY,122.75,anesthesia kyphoplasty
ANESTHESIA LAP CHOLE,122.75,anesthesia lap chole
"ANESTHESIA LOWER LEG, NER",122.75,"anesthesia lower leg, ner"
"ANESTHESIA LOWER LEG, OPE",122.75,"anesthesia lower leg, ope"
"ANESTHESIA LOWER LEG, OST",122.75,"anesthesia lower leg, ost"
ANESTHESIA LUMBAR PUNCTUR,122.75,anesthesia lumbar punctur
ANESTHESIA MALE GENITALIA,122.75,anesthesia male genitalia
ANESTHESIA MISC,122.75,anesthesia misc
ANESTHESIA NEURAXIAL LABO,122.75,anesthesia neuraxial labo
ANESTHESIA NEWBORN RESUSC,122.75,anesthesia newborn resusc
"ANESTHESIA NOSE & SINUS,",122.75,"anesthesia nose & sinus,"
ANESTHESIA OPEN HIP PROCE,122.75,anesthesia open hip proce
ANESTHESIA OPEN KNEE JOIN,122.75,anesthesia open knee join
ANESTHESIA OPEN LOWER FEM,122.75,anesthesia open lower fem
"ANESTHESIA OPEN TIBIA, FI",122.75,"anesthesia open tibia, fi"
ANESTHESIA OPEN UPPER FEM,122.75,anesthesia open upper fem
ANESTHESIA OTHER PERIPHER,122.75,anesthesia other peripher
"ANESTHESIA PERINEUM, ANOR",122.75,"anesthesia perineum, anor"
"ANESTHESIA PERINEUM, RESE",122.75,"anesthesia perineum, rese"
"ANESTHESIA PERINEUM, TURP",122.75,"anesthesia perineum, turp"
ANESTHESIA PRONE POSITION,122.75,anesthesia prone position
ANESTHESIA RADICAL PERINE,122.75,anesthesia radical perine
ANESTHESIA RADICAL/MODIFI,122.75,anesthesia radical/modifi
"ANESTHESIA SHOULDER, ARTH",122.75,"anesthesia shoulder, arth"
"ANESTHESIA SHOULDER, CLOS",122.75,"anesthesia shoulder, clos"
"ANESTHESIA SHOULDER, NERV",122.75,"anesthesia shoulder, nerv"
"ANESTHESIA SHOULDER, OPEN",122.75,"anesthesia shoulder, open"
ANESTHESIA SUPPLIES / MIN,16.25,anesthesia supplies / min
"ANESTHESIA TAP BLOCK, BIL",122.75,"anesthesia tap block, bil"
"ANESTHESIA TAP BLOCK, UNI",122.75,"anesthesia tap block, uni"
ANESTHESIA TOTAL HIP ARTH,122.75,anesthesia total hip arth
ANESTHESIA TOTAL KNEE ART,122.75,anesthesia total knee art
ANESTHESIA TRANSURETHRAL,122.75,anesthesia transurethral
ANESTHESIA TUBAL LIGATION,122.75,anesthesia tubal ligation
ANESTHESIA UPPER ARM&ELBO,122.75,anesthesia upper arm&elbo
"ANESTHESIA UPPER ARM, OPE",122.75,"anesthesia upper arm, ope"
"ANESTHESIA UPPER ARM,NERV",122.75,"anesthesia upper arm,nerv"
ANESTHESIA USOUND GUIDANC,122.75,anesthesia usound guidanc
ANESTHESIA VAGINAL HYSTER,122.75,anesthesia vaginal hyster
"ANESTHESIA VAGINAL PROC,",122.75,"anesthesia vaginal proc,"
ANESTHESIA VENIPUNCTURE,122.75,anesthesia venipuncture
ANESTHESIA VENIPUNCTURE U,122.75,anesthesia venipuncture u
"ANESTHESIA, ARTHROSCOPIC",122.75,"anesthesia, arthroscopic"
"ANESTHESIA, BLEPHAROPLAST",122.75,"anesthesia, blepharoplast"
"ANESTHESIA, CENTRAL LINE",122.75,"anesthesia, central line"
"ANESTHESIA, CERVICAL SPIN",122.75,"anesthesia, cervical spin"
"ANESTHESIA, CLSD CHEST PR",122.75,"anesthesia, clsd chest pr"
"ANESTHESIA, ESI CERVICAL",122.75,"anesthesia, esi cervical"
"ANESTHESIA, ESI SACRAL",122.75,"anesthesia, esi sacral"
"ANESTHESIA, EXTRAPERITONE",122.75,"anesthesia, extraperitone"
"ANESTHESIA, HIP NERVES, M",122.75,"anesthesia, hip nerves, m"
"ANESTHESIA, INJ EPIDURAL,",122.75,"anesthesia, inj epidural,"
"ANESTHESIA, INJ SINGLE FE",122.75,"anesthesia, inj single fe"
"ANESTHESIA, INJ SINGLE SC",122.75,"anesthesia, inj single sc"
"ANESTHESIA, INJ TRIGGER P",122.75,"anesthesia, inj trigger p"
"ANESTHESIA, IV SEDATION",122.75,"anesthesia, iv sedation"
"ANESTHESIA, LITHOTRIPSY",122.75,"anesthesia, lithotripsy"
"ANESTHESIA, LOWER LEG CLO",122.75,"anesthesia, lower leg clo"
"ANESTHESIA, LUMBAR REGION",122.75,"anesthesia, lumbar region"
"ANESTHESIA, PRONE POSITIO",122.75,"anesthesia, prone positio"
"ANESTHESIA, SPINAL PUNCTU",122.75,"anesthesia, spinal punctu"
"ANESTHESIA, THORACIC EPID",122.75,"anesthesia, thoracic epid"
"ANESTHESIA, TOTAL SHOULDE",122.75,"anesthesia, total shoulde"
"ANESTHESIA, UPPER ANTERIO",122.75,"anesthesia, upper anterio"
"ANESTHESIA, VASECTOMY",122.75,"anesthesia, vasectomy"
"ANESTHESIA,KNEE NERVE, MU",122.75,"anesthesia,knee nerve, mu"
"ANESTHESIA,SINGLE INJ, EP",122.75,"anesthesia,single inj, ep"
ANGIO UP EXT WO OR W CONT,3452.5,angio up ext wo or w cont
ANGIO UPPER EXT WO OR W C,3452.5,angio upper ext wo or w c
ANGIOGRAPHY ABDOMEN,4270.0,angiography abdomen
ANGIOGRAPHY CHEST,3221.75,angiography chest
ANGIOGRAPHY HEAD  W/CONTR,4183.0,angiography head w/contr
ANGIOGRAPHY HEAD W/O CONT,3722.75,angiography head w/o cont
ANGIOGRAPHY HEAD WO/W CON,4408.5,angiography head wo/w con
ANGIOGRAPHY LOWER EXTREM,3384.0,angiography lower extrem
ANGIOGRAPHY NECK W/CONTRA,3719.25,angiography neck w/contra
ANGIOGRAPHY NECK W/O CONT,3545.25,angiography neck w/o cont
ANGIOGRAPHY NECK WO/W CON,4292.25,angiography neck wo/w con
ANGIOGRAPHY PELVIS,3221.75,angiography pelvis
ANIDULAFUNGIN 100 MG SOLR,796.75,anidulafungin 100 mg solr
ANKLE 2 VIEW LEFT,279.25,ankle 2 view left
ANKLE 2 VIEW RIGHT,279.25,ankle 2 view right
ANKLE 2 VIEWS,92.5,ankle 2 views
ANKLE ARTHROSCOPY,260.0,ankle arthroscopy
ANKLE ARTHROSCOPY SURGICA,404.5,ankle arthroscopy surgica
ANKLE ARTHROSCOPY W/REMOV,787.125,ankle arthroscopy w/remov
"ANKLE ARTHROSCOPY, PARTIA",1630.5,"ankle arthroscopy, partia"
ANKLE BRACHIAL DOPPLER,580.5,ankle brachial doppler
ANKLE COMPLETE 3+ VIEWS,106.25,ankle complete 3+ views
"ANKLE LEFT, 3 VIEW",359.25,"ankle left, 3 view"
"ANKLE ORTHOTIC, STIRRUP,",131.0,"ankle orthotic, stirrup,"
"ANKLE RIGHT, 3 VIEW",359.25,"ankle right, 3 view"
ANKLE SUPPORT,127.75,ankle support
ANKLE/FOOT ORTHOTIC PREFA,176.5,ankle/foot orthotic prefa
ANTI FOG DEVICE,9.24,anti fog device
