description,avg_gross_charge,description_clean
AIRWAY NASOPHARYNGEAL 32 FR,9.5,airway nasopharyngeal 32 fr
AIRWAY NASOPHARYNGEAL 34FR,9.5,airway nasopharyngeal 34fr
AIRWAY NASOPHARYNGEAL 36 FR,15.0,airway nasopharyngeal 36 fr
AIRWAY OROPHARYNGEAL GUEDEL 50 MM,4.0,airway oropharyngeal guedel 50 mm
AIRWAY OROPHARYNGEAL GUEDEL 60 MM,4.0,airway oropharyngeal guedel 60 mm
AIRWAY RUSCH GUEDEL 100MM,4.0,airway rusch guedel 100mm
AIRWAY RUSCH GUEDEL 80MM,4.0,airway rusch guedel 80mm
AIRWAY RUSCH GUEDEL 90MM,4.0,airway rusch guedel 90mm
"AIRWAY, BERMAN ADULT 100MM (10CM)",4.0,"airway, berman adult 100mm (10cm)"
"AIRWAY, BERMAN ADULT 80MM (8CM)",4.0,"airway, berman adult 80mm (8cm)"
ALBUMIN 25% VIAL [50 mL],136.0,albumin 25% vial [50 ml]
ALBUMIN HUMAN 25% VIAL [5 GM/ 20 mL],106.0,albumin human 25% vial [5 gm/ 20 ml]
ALBUMIN SERUM,55.0,albumin serum
ALBUMIN URINE/FLUID,77.0,albumin urine/fluid
ALBUTEROL INHALER 90MCG [8 GM],64.0,albuterol inhaler 90mcg [8 gm]
ALBUTEROL NEB [2.5 MG/3 ML] (3082),2.5,albuterol neb [2.5 mg/3 ml] (3082)
ALCAINE (PROPARACAINE) 0.5% 15ML GTTS,77.0,alcaine (proparacaine) 0.5% 15ml gtts
ALCOHOL BIOMARKERS: 1 OR 2,190.0,alcohol biomarkers: 1 or 2
ALDACTONE (SPIRONOLACTONE) 25MG TAB,2.5,aldactone (spironolactone) 25mg tab
ALDOSTERONE SERUM/URINE,300.0,aldosterone serum/urine
ALKALOIDS NOS,224.0,alkaloids nos
ALLERGEN SPECIFIC FI C IgE; EACH,56.0,allergen specific fi c ige; each
ALLOPURINOL 100MG TAB,2.5,allopurinol 100mg tab
ALLOSYNC EVANS WEDGE 20MMX20MMX10MM,3600.0,allosync evans wedge 20mmx20mmx10mm
"ALPHA-1 ANTITRIPSIN, PHENO",207.0,"alpha-1 antitripsin, pheno"
ALPHA-1-ANTITRYPSIN,165.0,alpha-1-antitrypsin
ALPHA-FETOPROTIEN SERUM,125.0,alpha-fetoprotien serum
ALPHA-GAL,200.0,alpha-gal
ALTRX NEUT 36MMX56MM,1890.0,altrx neut 36mmx56mm
ALUMINUM,60.0,aluminum
AMA ELECTROLYTE PANEL,134.0,ama electrolyte panel
AMANTADINE CAP [100 MG],5.0,amantadine cap [100 mg]
AMBIEN (ZOLPIDEM TARTRATE)  5MG TABLET,2.5,ambien (zolpidem tartrate) 5mg tablet
AMBU BAG (ADULT),39.0,ambu bag (adult)
AMERICAINE SPRAY 2OZ,15.0,americaine spray 2oz
AMINO ACID QUANT URINE,370.0,amino acid quant urine
AMINOPHYLLINE VIAL [500 MG / 20 mL],41.0,aminophylline vial [500 mg / 20 ml]
AMIODARONE,60.0,amiodarone
AMIODARONE (PACERONE) 200MG TAB,2.5,amiodarone (pacerone) 200mg tab
AMIODARONE PREMIX BAG [150 MG / 100 mL],131.0,amiodarone premix bag [150 mg / 100 ml]
AMIODARONE VIAL [150 MG/3 ML],14.0,amiodarone vial [150 mg/3 ml]
AMITRYPTILINE (ELAVIL) 10MG TAB,2.5,amitryptiline (elavil) 10mg tab
AMMONIA,155.0,ammonia
AMNIOTIC FLUID SCAN,73.0,amniotic fluid scan
AMNIOTOMY HOOK,4.5,amniotomy hook
AMOX-CLAV ORAL SUSP [600MG-42.9MG-5 mL],34.0,amox-clav oral susp [600mg-42.9mg-5 ml]
AMOXICILLIN 400MG/5 ML (100ML) BOTTLE,10.0,amoxicillin 400mg/5 ml (100ml) bottle
AMPICILLIN 1 GM PWD VIAL IV,50.0,ampicillin 1 gm pwd vial iv
AMPUTATION FINGER/THUMB W/DIRECTCLOSURE,2205.0,amputation finger/thumb w/directclosure
AMPUTATION TOE INTERPHALANGEAL JOINT,3355.0,amputation toe interphalangeal joint
AMPUTATION TOE METATARSOPHALANGEAL JOINT,3300.0,amputation toe metatarsophalangeal joint
AMYLASE BLOOD,100.0,amylase blood
ANA TITER,110.0,ana titer
"ANALGESICS, NON-OPIOID 1-2",290.0,"analgesics, non-opioid 1-2"
ANCHOR BR 4.5MM W/TRIPLE #2 SUTURE,1653.0,anchor br 4.5mm w/triple #2 suture
ANCHOR KNOTLESS BR 5.5MM,1664.0,anchor knotless br 5.5mm
ANDROSTENEDIONE,165.0,androstenedione
ANESTHESIA 1-30 MINUTES,520.0,anesthesia 1-30 minutes
ANESTHESIA 121-150 MINUTES,1035.0,anesthesia 121-150 minutes
ANESTHESIA 151-180 MINUTES,1175.0,anesthesia 151-180 minutes
ANESTHESIA 181-210 MINUTES,1265.0,anesthesia 181-210 minutes
ANESTHESIA 211-240 MINUTES,1340.0,anesthesia 211-240 minutes
ANESTHESIA 241-270 MINUTES,1445.0,anesthesia 241-270 minutes
ANESTHESIA 271-300 MINUTES,1675.0,anesthesia 271-300 minutes
ANESTHESIA 31-60 MINUTES,700.0,anesthesia 31-60 minutes
ANESTHESIA 331-360 MINUTES,2010.0,anesthesia 331-360 minutes
ANESTHESIA 361-390 MINUTES,2070.0,anesthesia 361-390 minutes
ANESTHESIA 391-420 MINUTES,2345.0,anesthesia 391-420 minutes
ANESTHESIA 451-480 MINUTES,2680.0,anesthesia 451-480 minutes
ANESTHESIA 481 - 510 MINUTES,2935.0,anesthesia 481 - 510 minutes
ANESTHESIA 541-570 MINUTES,3200.0,anesthesia 541-570 minutes
ANESTHESIA 61-90 MINUTES,820.0,anesthesia 61-90 minutes
ANESTHESIA 91-120 MINUTES,930.0,anesthesia 91-120 minutes
ANESTHESIA COMPLICATED BY EMERGENCY COND,210.0,anesthesia complicated by emergency cond
ANESTHESIA FLEX BREATHING CIRCUIT,20.0,anesthesia flex breathing circuit
"ANGIOCATH 12G 3""",83.0,"angiocath 12g 3"""
ANGIOTENSIN CONV ENZYME,154.0,angiotensin conv enzyme
ANKLE ORTHOSIS MEDIUM,42.0,ankle orthosis medium
ANNUAL DEPRESSION SCREENING,50.0,annual depression screening
ANNUAL WELLNESS VISIT FOR MEDICARE,210.0,annual wellness visit for medicare
"ANNUAL WELLNESS VISIT, INITIAL",305.0,"annual wellness visit, initial"
ANOSCOPE DISPOSABLE,4.0,anoscope disposable
ANOSCOPY; CONTROL OF BLEEDING,3130.0,anoscopy; control of bleeding
ANTEPARTUM CARE 4-6 VISITS,1010.0,antepartum care 4-6 visits
ANTEPARTUM CARE ONLY 7/> VISITS,2000.0,antepartum care only 7/> visits
ANTI-CAP ANTIBODIES,155.0,anti-cap antibodies
ANTI-NUCLEAR ANTIBODY - ANA,133.0,anti-nuclear antibody - ana
ANTIBODY CHLAMYDIA,66.0,antibody chlamydia
ANTIBODY CHLAYDIA IGM,94.0,antibody chlaydia igm
ANTIBODY ID LEUKOCYTES,307.0,antibody id leukocytes
ANTIBODY IDENTIFICATION,221.0,antibody identification
ANTIBODY SCREEN RBC EACH,123.0,antibody screen rbc each
"ANTIBODY, INFLUENZA VIRUS",113.0,"antibody, influenza virus"
"ANTIBODY, PARVOVIRUS",136.0,"antibody, parvovirus"
ANTIBODY; JC (JOHN CUNNINGHAM) VIRUS,100.0,antibody; jc (john cunningham) virus
ANTIDEPRESSANTS; TRICYCLIC/CYCLICALS 1/2,77.0,antidepressants; tricyclic/cyclicals 1/2
ANTIDIURETIC HORMONE (ADH),173.0,antidiuretic hormone (adh)
ANTINEU CYTOPLASTIC ANTI SCREEN EACH,120.0,antineu cytoplastic anti screen each
"ANTIPELEPTICS, NOT OTHERWISE SPECIFIED",355.0,"antipeleptics, not otherwise specified"
"ANTIPSYCHOTICS, NOT OTHERWISE SPEC. 1-3",215.0,"antipsychotics, not otherwise spec. 1-3"
ANTITHROMBIN III ANTIGEN ASSAY,140.0,antithrombin iii antigen assay
APEX HOLE ELIMINATOR,459.0,apex hole eliminator
APIXABAN TAB [2.5 MG],25.0,apixaban tab [2.5 mg]
APOLIPOPROTIEN EACH,125.0,apolipoprotien each
APP SKIN SUB GRAFT T/A/L FIRST 25 SQCM,345.0,app skin sub graft t/a/l first 25 sqcm
APPLICATION SHORT ARM SPLINT,224.5,application short arm splint
APPT PATIENT/CONTROL MIX,97.0,appt patient/control mix
ARFORMOTEROL NEB [15 MCG/2 mL],8.0,arformoterol neb [15 mcg/2 ml]
"ARHTOROSCOPY, ANKLE; W/REMOVAL LOOSE/FB",4662.0,"arhtoroscopy, ankle; w/removal loose/fb"
ARIPIPRAZOLE LEVEL,395.0,aripiprazole level
ARM SLING (EXTRA LARGE),79.0,arm sling (extra large)
ARM SLING (EXTRA SMALL),52.0,arm sling (extra small)
ARM SLING DEEP POCKET LARGE,10.0,arm sling deep pocket large
ARM SLING DEEP POCKET MEDIUM,10.0,arm sling deep pocket medium
ARM SLING DEEP POCKET SMALL,10.0,arm sling deep pocket small
ARM SLING DEEP POCKET XL,10.5,arm sling deep pocket xl
ARM SLING XS,10.0,arm sling xs
ARTERIAL DOPPLER 1-2 LEVEL BILAT,555.0,arterial doppler 1-2 level bilat
ARTERIAL DOPPLER LEVEL 3 OR MORE,740.0,arterial doppler level 3 or more
ARTERIAL DUPLEX LIMITED UPPER,930.0,arterial duplex limited upper
ARTERIAL PUNCTURE,120.0,arterial puncture
"ARTHODESIS, GREAT TOE; METATARSOPHALALNG",4870.0,"arthodesis, great toe; metatarsophalalng"
"ARTHRODESIS, GREAT TOE; INTERPHAL JOINT",2895.0,"arthrodesis, great toe; interphal joint"
ARTHROPLASTY INTERPHALANGEAL JOINT EA,2840.0,arthroplasty interphalangeal joint ea
"ARTHROPLASTY, GLENOHUMERAL, TOTAL SHLDR",9075.0,"arthroplasty, glenohumeral, total shldr"
"ARTHROPLASTY, KNEE; TOTAL KNEE",8415.0,"arthroplasty, knee; total knee"
"ARTHROPLASTY, TOTAL HIP",8145.0,"arthroplasty, total hip"
ARTHROSCOPY ACL REPAIR/AUG/RECONSTRUCT,8280.0,arthroscopy acl repair/aug/reconstruct
ARTHROSCOPY KNEE; DEBRIDE/SHAVE ART CART,4876.0,arthroscopy knee; debride/shave art cart
ARTHROSCOPY MENISCECTOMY MEDIAL/LATERAL,4950.0,arthroscopy meniscectomy medial/lateral
ARTHROSCOPY SHOULDER W/LYSIS ADHESIONS,2930.0,arthroscopy shoulder w/lysis adhesions
"ARTHROSCOPY, ANKLE; DEBRIDE EXTENSIVE",4662.0,"arthroscopy, ankle; debride extensive"
"ARTHROSCOPY, KNEE MEDIAL/LATERAL MENISCU",6985.0,"arthroscopy, knee medial/lateral meniscu"
"ARTHROSCOPY, SHLDR, DISTL CLAVICULECTOMY",2500.0,"arthroscopy, shldr, distl claviculectomy"
"ARTHROSCOPY, SHLDR, SUBACROMIAL DECOMP",4505.0,"arthroscopy, shldr, subacromial decomp"
"ARTHROSCOPY, SHLDR; DEBRIDE 1-2 STRUCT",4400.0,"arthroscopy, shldr; debride 1-2 struct"
"ARTHROSCOPY, SHLDR; DEBRIDE EXTENSIVE",2265.0,"arthroscopy, shldr; debride extensive"
"ARTHROSCOPY, SHOULDER, SURGICAL",6115.0,"arthroscopy, shoulder, surgical"
"ARTHROSCOPY, SHOULDER; W/ROTATOR CUFF",5250.0,"arthroscopy, shoulder; w/rotator cuff"
ARTHROSCOPY; KNEE; DIAG W/WO SYNOVIAL BX,2765.0,arthroscopy; knee; diag w/wo synovial bx
ARTHROSCOPY; KNEE; SYNOVECTOMY LIMITED,3080.0,arthroscopy; knee; synovectomy limited
"ARTHROTOMY ANKLE, EXPL, DRAIN, REMOVE FB",3695.0,"arthrotomy ankle, expl, drain, remove fb"
ASA 325MG ENTERIC COATED TAB,2.5,asa 325mg enteric coated tab
ASA 81MG CHEWABLE TAB,2.5,asa 81mg chewable tab
ASO TITER,105.0,aso titer
ASPIRATING ABLATOR PROBE 50 DEGREE,500.0,aspirating ablator probe 50 degree
ASPIRATING ABLATOR PROVE 90 DEGREE,517.0,aspirating ablator prove 90 degree
ASPIRATING TUBE LUKI DISPOSABLE,30.0,aspirating tube luki disposable
ASPIRATION/INJ INTERM JOINT/BRSA (ORTHO),255.0,aspiration/inj interm joint/brsa (ortho)
ASPIRATION/INJ MAJOR JOINT OR BUSRA,255.0,aspiration/inj major joint or busra
ASPIRATION/INJ MAJOR JOINT/BURSA,252.5,aspiration/inj major joint/bursa
ASPIRATION/INJ SMALL JOINT OR BURSA,245.0,aspiration/inj small joint or bursa
ASPIRATION/INJ SMALL JOINT OR BUSRA,250.0,aspiration/inj small joint or busra
ASPIRIATION/INJ INTERM JOINT (PODIATRY),245.0,aspiriation/inj interm joint (podiatry)
"ASSAY INFECTIOUS AGENT ANTIBODY, NOS",180.0,"assay infectious agent antibody, nos"
ASSAY MYELOPEROSIDASE,58.0,assay myeloperosidase
ASSAY OF ARSENIC,140.0,assay of arsenic
ASSAY OF CADMIUM,80.0,assay of cadmium
ASSAY OF FOLIC,252.0,assay of folic
ASSAY OF LACTIC ACID,145.0,assay of lactic acid
ASSAY OF MERCURY,192.0,assay of mercury
"ASSAY OF NEPHELOMETRY, EACH ANALYTE NOT",166.0,"assay of nephelometry, each analyte not"
ASSAY OF OXALATE,114.0,assay of oxalate
ASSAY OF PREGNENOLONE,330.0,assay of pregnenolone
ASSAY OF URINE SULFATE,24.0,assay of urine sulfate
ASSAY OF VITAMIN B-1,240.0,assay of vitamin b-1
ASSAY OF VITAMIN K,372.0,assay of vitamin k
"ASSIST FASCIECTOMY, PLANTAR FASCIA",1100.0,"assist fasciectomy, plantar fascia"
ASSIST LAPAR ASSISTED VAG HYSTERECTOMY,890.0,assist lapar assisted vag hysterectomy
ASSIST. W/VAG HYSTERECTOMY REMOVAL O,705.0,assist. w/vag hysterectomy removal o
ATARAX (HYDROXYZINE) 25MG CAPSULE,2.5,atarax (hydroxyzine) 25mg capsule
ATENOLOL 25MG TAB,2.5,atenolol 25mg tab
ATROPINE 1MG/10ML SYRINGE  IV,45.0,atropine 1mg/10ml syringe iv
ATROPINE OPTH  BOTTLE [1%],114.0,atropine opth bottle [1%]
ATROPINE VIAL [0.4 MG/ ML],30.0,atropine vial [0.4 mg/ ml]
ATTACHMENT POWERPICK 45 DEGREE,283.0,attachment powerpick 45 degree
ATTENDANCE AT DELIVERY,200.0,attendance at delivery
ATTUNE CR FEM LT SZ5 CM,3827.0,attune cr fem lt sz5 cm
ATTUNE L MEDIAL STABILIZED INSRT SZ5 8MM,2676.0,attune l medial stabilized insrt sz5 8mm
ATTUNE MEDIAL DOME PAT 35 MM,1260.0,attune medial dome pat 35 mm
AUGMENTIN 875/125 MG TAB,2.5,augmentin 875/125 mg tab
AVULSION OF NAIL PLATE SINGLE,220.0,avulsion of nail plate single
AZTREONAM VIAL [2 GM],225.0,aztreonam vial [2 gm]
Assay of Estrogens,199.0,assay of estrogens
Assay of Thyroglobulin,150.0,assay of thyroglobulin
Assist Sling Operation for Stress Incont,337.0,assist sling operation for stress incont
B-CELLS; TOTAL COUNT,105.0,b-cells; total count
BACITRACIN OINT [ 14 GM],5.0,bacitracin oint [ 14 gm]
BAG BREATHING ANES 1L PED,8.0,bag breathing anes 1l ped
BAIR PAWS FLEX GOWN,50.0,bair paws flex gown
BALLOON DILATION OF ESOPHAGUS(<30MM),2212.5,balloon dilation of esophagus(<30mm)
BALOXAVIR TAB [40 MG],290.0,baloxavir tab [40 mg]
BANDAGE 2 LAYER COMPRESSION,39.0,bandage 2 layer compression
"BANDAGE COHESIVE 3""X15 YD STERILE",8.5,"bandage cohesive 3""x15 yd sterile"
"BANDAGE COHESIVE 4""X5YD STERILE",9.5,"bandage cohesive 4""x5yd sterile"
"BANDAGE COHESIVE 6""X5YD STERILE",15.5,"bandage cohesive 6""x5yd sterile"
"BANDAGE CONFORMING 2"" x 75""",4.0,"bandage conforming 2"" x 75"""
"BANDAGE CONFORMING 3"" x 75""",4.0,"bandage conforming 3"" x 75"""
"BANDAGE CONFORMING 4"" x 75""",4.0,"bandage conforming 4"" x 75"""
"BANDAGE ELASTIC WRAP 6"" X 11YDS",16.5,"bandage elastic wrap 6"" x 11yds"
"BANDAGE ESMARK 6""X4YD STERILE",16.5,"bandage esmark 6""x4yd sterile"
BANDAGE KERLIX 2.25' STERILE,4.0,bandage kerlix 2.25' sterile
BANDAGE PROFORE 4 LAYER,53.0,bandage profore 4 layer
BARD TRUGUIDE BIOPSY NEEDLE 13G,118.0,bard truguide biopsy needle 13g
BARIATRIC EQUIPMENT PER DAY,1.0,bariatric equipment per day
BASEPLATE MODULAR LATERALID 24 MM+2,3504.0,baseplate modular lateralid 24 mm+2
BASIC METABOLIC PANEL,155.0,basic metabolic panel
BB-TAK MTP THREADED,398.0,bb-tak mtp threaded
"BB-TAK, MTP",232.0,"bb-tak, mtp"
BBRAUN PVC-PFREE DRAINAGE BOTTLE 1000ML,43.0,bbraun pvc-pfree drainage bottle 1000ml
BCR/ABL 1 OTHER BREAKPNT QUALITATIVE/QUA,439.0,bcr/abl 1 other breakpnt qualitative/qua
BCR/ALB1 MAJOR QUANTATATIVE,1232.0,bcr/alb1 major quantatative
BCR/ALB1 MINOR QUANTATATIVE,500.0,bcr/alb1 minor quantatative
BEHAVIORAL & QUALITATIVE ANALYSIS VOICE,295.0,behavioral & qualitative analysis voice
BENADRYL (DIPHENHYDRAMINE) 25MG TAB,2.5,benadryl (diphenhydramine) 25mg tab
BENADRYL 50MG/1ML VIAL INJ,10.0,benadryl 50mg/1ml vial inj
BENZODIAZEPINES 1-12,150.0,benzodiazepines 1-12
BET 2 MICROGLOBULIN SERUM,142.0,bet 2 microglobulin serum
BETA 2 GLYOOPRTEIN ANTIBODIES,250.0,beta 2 glyooprtein antibodies
BETADINE SCRUB BRUSH,4.0,betadine scrub brush
BETADINE SCRUB SOLUTION 4 OZ.,7.5,betadine scrub solution 4 oz.
BETADINE SOLUTION 4 OZ,9.5,betadine solution 4 oz
BETADYNE 10% SWAB STICK S48050,4.0,betadyne 10% swab stick s48050
BETADYNE SOLUT SWABSTICK 6761815303,4.0,betadyne solut swabstick 6761815303
BETAMETHASONE VIAL PER 6 MG,5.5,betamethasone vial per 6 mg
BETAPACE (SOTALOL) 80MG TAB,2.5,betapace (sotalol) 80mg tab
BETHANECHOL TAB [25 MG],3.0,bethanechol tab [25 mg]
BEYFORTUS SYR [50 MG / 0.5 mL],545.0,beyfortus syr [50 mg / 0.5 ml]
BICITRA 500MG/334MG PER 5 ML ELIXER,2.5,bicitra 500mg/334mg per 5 ml elixer
BILATERAL VENOUS DUPLEX,1360.0,bilateral venous duplex
BILE ACIDS TOTAL,168.0,bile acids total
BILI MASK SMALL,15.0,bili mask small
BILIRUBIN DIRECT,60.0,bilirubin direct
BILIRUBIN TOTAL,65.0,bilirubin total
BIOFREEZE GEL 4% [89 mL],28.0,biofreeze gel 4% [89 ml]
"BIOPATCH PROTECTIVE DISK 1"" 4MM HOLE",25.0,"biopatch protective disk 1"" 4mm hole"
"BIOPSY, INTRANASAL",1230.0,"biopsy, intranasal"
"BIOPSY/EXCISION LYMPH NODE, OPEN SPRF",3300.0,"biopsy/excision lymph node, open sprf"
BIOTINIDASE,45.0,biotinidase
BIOVANCE HUMAN AMNIOTIC MEMBRANE 6X6,5662.0,biovance human amniotic membrane 6x6
BIPOLAR FORCEPS CORD,25.0,bipolar forceps cord
BIRTHING SERVICE,2230.0,birthing service
BISACODYL 10MG SUPPOSITORY,2.5,bisacodyl 10mg suppository
BLADDER IRRIGATION OR ISTILLATION,331.0,bladder irrigation or istillation
"BLADDER IRRIGATION SET, Y-TYPE",31.0,"bladder irrigation set, y-type"
BLADDER IRRIGATION/INSTILLATION (URO),175.0,bladder irrigation/instillation (uro)
BLADDER SCAN,210.0,bladder scan
BLADE BONE CUTTER 4.0MMX13CM,215.0,blade bone cutter 4.0mmx13cm
BLADE BONE CUTTER 5.0MMX13CM,215.0,blade bone cutter 5.0mmx13cm
BLADE DISSECTOR 4.0 MM X 13 CM,207.0,blade dissector 4.0 mm x 13 cm
BLADE DISSECTOR SMALL HUB 3.0MMX7CM,215.0,blade dissector small hub 3.0mmx7cm
BLADE ELECTRODE 4 INCH,22.0,blade electrode 4 inch
BLADE ELECTRODE EXTENSION 6.5 INCH,5.5,blade electrode extension 6.5 inch
BLADE EXCALIBUR 4.0MMX13CM,207.0,blade excalibur 4.0mmx13cm
BLADE QUAD TENDON GRAFT CUTTING 10MM,481.0,blade quad tendon graft cutting 10mm
BLADE QUAD TENDON GRAFT CUTTING 9MM,481.0,blade quad tendon graft cutting 9mm
BLADE SAW SAGITTAL HEAVY DUTY AGGRE,183.0,blade saw sagittal heavy duty aggre
BLADE SAW SAGITTAL PRECISION THIN,122.0,blade saw sagittal precision thin
BLADE SAW SAGITTAL THIN OFFSET,140.0,blade saw sagittal thin offset
BLADE TORPEDO 4.0MMX13CM,283.0,blade torpedo 4.0mmx13cm
BLADE TORPEDO CURVED 4MM,283.0,blade torpedo curved 4mm
BLANKET PATIENT WARMING,25.0,blanket patient warming
"BLASTOMYCES TOTAL, ANTIBODIES",70.0,"blastomyces total, antibodies"
BLEEDING TIME,55.0,bleeding time
BLOOD ADMINISTRATION - 1 UNITS,885.0,blood administration - 1 units
BLOOD ADMINISTRATION - 2 UNITS,995.0,blood administration - 2 units
BLOOD ADMINISTRATION - 3 UNITS,1110.0,blood administration - 3 units
BLOOD ADMINISTRATION - 4 UNITS,1225.0,blood administration - 4 units
BLOOD ADMINISTRATION - 5 UNITS,1340.0,blood administration - 5 units
BLOOD CLOT FACTOR VIII TEST,310.0,blood clot factor viii test
BLOOD COUNT HEMO/PLATE/AUTO,78.0,blood count hemo/plate/auto
BLOOD TYPING ABO,70.0,blood typing abo
BLOOD TYPING ANTIGEN USING PATIENT SERUM,63.0,blood typing antigen using patient serum
